congress,chamber,party_code,party_name,n_members,dim1_median,dim2_median,dim1_mean,dim2_mean
22,Senate,44,Nullifier,3,-0.04,-0.571,-0.032,-0.568333333333
22,Senate,555,Jackson,29,-0.161,0.059,-0.205379310345,0.108482758621
22,Senate,1275,Anti-Jackson,23,0.4075,0.3095,0.406545454545,0.282772727273
23,President,555,Jackson,1,-0.25,-0.098,-0.25,-0.098
23,House,26,Anti Masonic,26,0.315,-0.0195,0.328038461538,-0.0581153846154
23,House,44,Nullifier,10,-0.3765,0.884,-0.4026,0.7947
23,House,555,Jackson,150,-0.2665,-0.267,-0.266613333333,-0.187613333333
23,House,1275,Anti-Jackson,72,0.1875,0.2525,0.188652777778,0.273875
23,Senate,44,Nullifier,2,-0.0805,-0.062,-0.0805,-0.062
23,Senate,555,Jackson,25,-0.274,-0.021,-0.30032,0.11124
23,Senate,1275,Anti-Jackson,29,0.384,0.18,0.312034482759,0.139724137931
24,President,555,Jackson,1,-0.25,-0.098,-0.25,-0.098
24,House,26,Anti Masonic,16,0.356,-0.0805,0.349,-0.144375
24,House,29,Whig,2,0.1705,0.199,0.1705,0.199
24,House,44,Nullifier,8,-0.4585,0.86,-0.451,0.809875
24,House,555,Jackson,149,-0.283,-0.36,-0.296702702703,-0.312033783784
24,House,1275,Anti-Jackson,80,0.0805,0.314,0.0771125,0.3194875
24,Senate,44,Nullifier,2,-0.0805,-0.062,-0.0805,-0.062
24,Senate,555,Jackson,34,-0.344,-0.0095,-0.378529411765,0.0719705882353
24,Senate,1275,Anti-Jackson,27,0.274,0.18,0.257185185185,0.166962962963
25,President,100,Democrat,1,0.105,-0.969,0.105,-0.969
25,House,26,Anti Masonic,7,0.398,-0.146,0.370142857143,-0.133285714286
25,House,29,Whig,110,0.1745,0.2525,0.121909090909,0.272081818182
25,House,44,Nullifier,6,-0.5095,0.8155,-0.507166666667,0.737833333333
25,House,100,Democrat,134,-0.283,-0.418,-0.297308270677,-0.362631578947
25,House,328,Independent,1,-0.065,0.368,-0.065,0.368
25,Senate,29,Whig,19,0.181,0.181,0.210105263158,0.266368421053
25,Senate,100,Democrat,40,-0.341,-0.1245,-0.364825,-0.038925
26,President,100,Democrat,1,0.105,-0.969,0.105,-0.969
26,House,26,Anti Masonic,6,0.3815,-0.2285,0.367666666667,-0.1775
26,House,29,Whig,121,0.209,0.2325,0.122775,0.290358333333
26,House,100,Democrat,128,-0.297,-0.452,-0.32103125,-0.3693671875
26,House,112,Conservative,2,-0.3525,0.2905,-0.3525,0.2905
26,Senate,29,Whig,28,0.251,0.174,0.207321428571,0.253071428571
26,Senate,100,Democrat,32,-0.3695,-0.1695,-0.39009375,-0.1026875
27,President,29,Whig,2,0.251,-0.968,0.251,-0.968
27,House,29,Whig,151,0.179,0.176,0.140569536424,0.261059602649
27,House,100,Democrat,106,-0.3475,-0.3345,-0.363773584906,-0.267311320755
27,House,328,Independent,1,-0.576,0.749,-0.576,0.749
27,House,329,Ind. Democrat,1,-0.109,-0.17,-0.109,-0.17
27,Senate,29,Whig,34,0.251,0.2595,0.199735294118,0.244352941176
27,Senate,100,Democrat,25,-0.373,-0.161,-0.40524,-0.13648
28,President,29,Whig,1,0.251,-0.968,0.251,-0.968
28,House,29,Whig,80,0.251,0.2125,0.1713625,0.2380375
28,House,100,Democrat,152,-0.2815,-0.2805,-0.298193333333,-0.25352
28,House,329,Ind. Democrat,1,0.172,0.042,0.172,0.042
28,House,403,Law and Order,2,0.1765,0.1645,0.1765,0.1645
28,House,603,Ind. Whig,1,-0.092,0.545,-0.092,0.545
28,Senate,29,Whig,29,0.216,0.25,0.169413793103,0.241724137931
28,Senate,100,Democrat,30,-0.412,-0.2215,-0.421933333333,-0.121966666667
28,Senate,403,Law and Order,1,0.353,-0.355,0.353,-0.355
29,President,100,Democrat,1,-0.659,-0.504,-0.659,-0.504
29,House,29,Whig,84,0.232,0.195,0.174329268293,0.253036585366
29,House,100,Democrat,150,-0.29,-0.2235,-0.32852,-0.21964
29,House,310,American,6,0.145,0.037,0.1285,0.0648333333333
29,Senate,29,Whig,26,0.2805,0.2235,0.244653846154,0.244961538462
29,Senate,100,Democrat,39,-0.43,-0.082,-0.428897435897,-0.0154358974359
29,Senate,1111,Liberty,1,0.907,0.29,0.907,0.29
30,President,100,Democrat,1,-0.659,-0.504,-0.659,-0.504
30,House,29,Whig,119,0.242,0.085,0.19735042735,0.194743589744
30,House,100,Democrat,115,-0.3375,-0.211,-0.348728070175,-0.214078947368
30,House,310,American,1,0.013,0.24,0.013,0.24
30,House,328,Independent,1,0.552,-0.598,0.552,-0.598
30,House,329,Ind. Democrat,2,-0.129,-0.493,-0.129,-0.493
30,Senate,29,Whig,24,0.2115,0.248,0.204791666667,0.316583333333
30,Senate,100,Democrat,47,-0.398,-0.175,-0.38085106383,-0.175
30,Senate,329,Ind. Democrat,1,0.11,-0.8,0.11,-0.8
31,President,29,Whig,2,,,,
31,House,29,Whig,113,0.298,0.154,0.239168141593,0.185159292035
31,House,100,Democrat,120,-0.374,-0.159,-0.386588235294,-0.179016806723
31,House,300,Free Soil,9,0.425,-0.812,0.387444444444,-0.814111111111
31,House,310,American,1,0.013,0.24,0.013,0.24
31,House,328,Independent,1,0.013,0.246,0.013,0.246
31,Senate,29,Whig,29,0.244,0.243,0.186428571429,0.318892857143
31,Senate,100,Democrat,40,-0.377,-0.151,-0.374,-0.1298
31,Senate,300,Free Soil,2,0.2125,-0.8745,0.2125,-0.8745
32,President,29,Whig,1,,,,
32,House,29,Whig,89,0.289,0.149,0.247235955056,0.0978426966292
32,House,46,States Rights,3,-0.421,0.087,-0.451333333333,0.0686666666667
32,House,100,Democrat,129,-0.303,-0.163,-0.30511627907,-0.186426356589
32,House,300,Free Soil,4,0.4775,-0.8045,0.4525,-0.792
32,House,329,Ind. Democrat,3,-0.23,0.037,-0.175,-0.0106666666667
32,House,603,Ind. Whig,1,0.022,0.735,0.022,0.735
32,House,4444,Union,10,-0.407,0.337,-0.4084,0.308
32,Senate,29,Whig,26,0.102,0.2965,0.0945,0.375576923077
32,Senate,100,Democrat,44,-0.384,-0.051,-0.378295454545,-0.115886363636
32,Senate,300,Free Soil,3,0.315,-0.8,0.255666666667,-0.664333333333
33,President,100,Democrat,1,0.256,0.132,0.256,0.132
33,House,29,Whig,77,0.2585,-0.069,0.191644736842,-0.0660789473684
33,House,100,Democrat,159,-0.31,-0.099,-0.30023566879,-0.107331210191
33,House,300,Free Soil,4,0.294,-0.497,0.276,-0.47725
33,House,328,Independent,1,0.103,-0.224,0.103,-0.224
33,House,329,Ind. Democrat,1,-0.214,-0.053,-0.214,-0.053
33,Senate,29,Whig,23,0.03,0.373,0.0705652173913,0.379695652174
33,Senate,100,Democrat,42,-0.384,0.008,-0.362214285714,-0.0909047619048
33,Senate,300,Free Soil,4,0.4305,-0.5615,0.4705,-0.579
33,Senate,310,American,1,0.332,-0.22,0.332,-0.22
34,President,100,Democrat,1,0.256,0.132,0.256,0.132
34,House,100,Democrat,85,-0.432,-0.076,-0.396564705882,-0.0572941176471
34,House,200,Republican,1,0.549,-0.683,0.549,-0.683
34,House,310,American,52,0.0275,0.1605,0.101480769231,0.121846153846
34,House,3333,Opposition,100,0.313,-0.337,0.290878787879,-0.321909090909
34,Senate,100,Democrat,39,-0.405,0.033,-0.380384615385,0.00905128205128
34,Senate,200,Republican,1,0.343,-0.291,0.343,-0.291
34,Senate,310,American,1,-0.361,-0.056,-0.361,-0.056
34,Senate,3333,Opposition,23,0.214,0.1585,0.138227272727,0.0864090909091
35,President,100,Democrat,1,-0.721,-0.045,-0.721,-0.045
35,House,100,Democrat,136,-0.341,0.031,-0.375562962963,0.0852814814815
35,House,200,Republican,94,0.3225,-0.367,0.329808510638,-0.399521276596
35,House,310,American,15,-0.072,0.343,-0.0754,0.368
35,House,329,Ind. Democrat,2,-0.0965,0.087,-0.0965,0.087
35,Senate,100,Democrat,47,-0.421,0.137,-0.408425531915,0.128659574468
35,Senate,200,Republican,21,0.268,-0.228,0.250952380952,-0.358619047619
35,Senate,310,American,5,-0.08,0.453,-0.1458,0.4052
36,President,100,Democrat,1,-0.721,-0.045,-0.721,-0.045
36,House,100,Democrat,87,-0.437,-0.006,-0.425862068966,0.0424597701149
36,House,108,Anti-Lecompton Democrat,8,-0.002,-0.0995,-0.01025,-0.075625
36,House,200,Republican,119,0.293,-0.2645,0.294525423729,-0.301525423729
36,House,310,American,5,0.068,0.512,0.0242,0.5722
36,House,329,Ind. Democrat,7,-0.425,0.397,-0.387142857143,0.243
36,House,3334,Opposition,19,-0.091,0.156,-0.112052631579,0.216473684211
36,Senate,100,Democrat,41,-0.445,0.101,-0.432585365854,0.0659756097561
36,Senate,200,Republican,27,0.244,-0.244,0.239074074074,-0.373
36,Senate,310,American,2,-0.108,0.4395,-0.108,0.4395
37,President,200,Republican,1,0.431,0.902,0.431,0.902
37,House,37,Constitutional Unionist,2,0.0335,0.595,0.0335,0.595
37,House,100,Democrat,52,-0.279,0.263,-0.232784313725,0.310254901961
37,House,200,Republican,114,0.3165,-0.2445,0.306587719298,-0.244394736842
37,House,206,Unionist,32,-0.001,0.444,0.00493548387097,0.378774193548
37,House,329,Ind. Democrat,1,-0.334,0.942,-0.334,0.942
37,House,4444,Union,2,0.138,0.574,0.138,0.574
37,Senate,100,Democrat,29,-0.421,0.114,-0.393172413793,0.101448275862
37,Senate,200,Republican,37,0.214,-0.236,0.19975,-0.346083333333
37,Senate,206,Unionist,8,-0.183,0.208,-0.147,0.07175
38,President,200,Republican,1,0.431,0.902,0.431,0.902
38,House,100,Democrat,75,-0.306,0.1145,-0.287716216216,0.15677027027
38,House,200,Republican,86,0.3465,-0.135,0.347895348837,-0.0942674418605
38,House,203,Unconditional Unionist,18,0.216,0.2695,0.179777777778,0.138055555556
38,House,206,Unionist,9,-0.122,0.56,-0.191444444444,0.231666666667
38,House,331,Ind. Republican,2,0.0985,-0.5075,0.0985,-0.5075
38,Senate,100,Democrat,11,-0.303,0.265,-0.296181818182,0.291545454545
38,Senate,200,Republican,34,0.27,-0.1375,0.250647058824,-0.209617647059
38,Senate,203,Unconditional Unionist,5,0.025,-0.037,0.0244,-0.092
38,Senate,206,Unionist,5,-0.1915,0.386,-0.185,0.36125
39,President,200,Republican,2,0.431,0.902,0.431,0.902
39,House,100,Democrat,44,-0.338,0.2315,-0.3575,0.168431818182
39,House,200,Republican,138,0.314,-0.143,0.303474452555,-0.131729927007
39,House,203,Unconditional Unionist,14,0.1305,0.1755,0.107785714286,0.141142857143
39,House,206,Unionist,5,-0.255,-0.115,-0.2502,-0.0602
39,House,331,Ind. Republican,1,0.371,-0.596,0.371,-0.596
39,Senate,100,Democrat,11,-0.275,0.182,-0.294090909091,0.175272727273
39,Senate,200,Republican,44,0.27,-0.078,0.234954545455,-0.138681818182
39,Senate,203,Unconditional Unionist,3,0.025,0.278,0.0556666666667,0.386666666667
39,Senate,206,Unionist,1,-0.289,0.45,-0.289,0.45
40,President,200,Republican,1,,,,
40,House,100,Democrat,51,-0.3565,0.069,-0.3676,0.1506
40,House,112,Conservative,2,-0.034,0.3385,-0.034,0.3385
40,House,200,Republican,178,0.3105,-0.1045,0.309859550562,-0.124837078652
40,House,331,Ind. Republican,2,0.208,0.0675,0.208,0.0675
40,House,1116,Conservative Republican,1,0.068,0.95,0.068,0.95
40,Senate,100,Democrat,12,-0.4275,0.1165,-0.428,0.0891666666667
40,Senate,200,Republican,57,0.286,0.059,0.255561403509,0.0962456140351
41,President,200,Republican,1,0.18,0.018,0.18,0.018
41,House,100,Democrat,72,-0.372,-0.025,-0.367861111111,0.056375
41,House,112,Conservative,6,-0.133,0.442,-0.205166666667,0.322166666667
41,House,200,Republican,180,0.3255,-0.092,0.322672222222,-0.108144444444
41,Senate,100,Democrat,13,-0.42,-0.136,-0.448384615385,-0.0935384615385
41,Senate,200,Republican,67,0.2805,0.0315,0.261136363636,0.0848636363636
42,President,200,Republican,1,0.18,0.018,0.18,0.018
42,House,100,Democrat,106,-0.349,-0.018,-0.344726415094,0.0011320754717
42,House,200,Republican,143,0.3265,-0.08,0.323915492958,-0.093514084507
42,House,208,Liberal Republican,4,-0.057,0.0245,-0.156,0.0535
42,House,331,Ind. Republican,1,0.467,0.639,0.467,0.639
42,Senate,100,Democrat,18,-0.4555,-0.236,-0.457888888889,-0.221444444444
42,Senate,200,Republican,56,0.2845,0.0445,0.267714285714,0.046375
42,Senate,208,Liberal Republican,1,0.022,-0.343,0.022,-0.343
43,President,200,Republican,1,0.18,0.018,0.18,0.018
43,House,100,Democrat,95,-0.3795,-0.0155,-0.377138297872,-0.026585106383
43,House,200,Republican,206,0.3245,-0.1135,0.317397058824,-0.0945637254902
43,House,208,Liberal Republican,4,-0.267,-0.138,-0.129,-0.0386666666667
43,House,329,Ind. Democrat,1,-0.556,0.011,-0.556,0.011
43,House,331,Ind. Republican,1,0.223,-0.812,0.223,-0.812
43,Senate,100,Democrat,21,-0.42,-0.139,-0.481619047619,-0.197857142857
43,Senate,200,Republican,51,0.285,0.124,0.274666666667,0.0836666666667
43,Senate,208,Liberal Republican,7,0.122,-0.343,0.148571428571,-0.218857142857
44,President,200,Republican,1,0.18,0.018,0.18,0.018
44,House,100,Democrat,189,-0.363,-0.111,-0.355732620321,-0.133326203209
44,House,200,Republican,111,0.364,-0.155,0.362162162162,-0.134117117117
44,House,328,Independent,4,0.0195,0.506,0.02475,0.3195
44,House,329,Ind. Democrat,1,-0.256,0.246,-0.256,0.246
44,House,331,Ind. Republican,4,0.3645,-0.56,0.37925,-0.4635
44,Senate,100,Democrat,34,-0.42,-0.041,-0.445696969697,-0.0896060606061
44,Senate,200,Republican,47,0.274,0.106,0.252510638298,0.0776382978723
44,Senate,331,Ind. Republican,1,0.104,-0.118,0.104,-0.118
45,President,200,Republican,1,,,,
45,House,100,Democrat,158,-0.3765,-0.084,-0.373424050633,-0.154860759494
45,House,200,Republican,143,0.379,-0.091,0.368034965035,-0.0922237762238
45,House,329,Ind. Democrat,2,-0.349,0.0595,-0.349,0.0595
45,Senate,100,Democrat,38,-0.4175,-0.037,-0.436578947368,-0.113526315789
45,Senate,200,Republican,43,0.274,0.13,0.266558139535,0.106069767442
45,Senate,328,Independent,1,-0.06,-0.083,-0.06,-0.083
46,President,200,Republican,1,,,,
46,House,100,Democrat,146,-0.395,-0.048,-0.390986206897,-0.0493448275862
46,House,200,Republican,135,0.399,-0.129,0.394896296296,-0.128074074074
46,House,326,National Greenbacker,13,-0.036,0.992,-0.0124615384615,0.814307692308
46,House,329,Ind. Democrat,7,-0.3305,0.1665,-0.353333333333,0.162833333333
46,Senate,100,Democrat,45,-0.43,-0.039,-0.4526,-0.116755555556
46,Senate,200,Republican,35,0.286,0.059,0.295342857143,-0.0271714285714
46,Senate,328,Independent,1,-0.06,-0.083,-0.06,-0.083
47,President,200,Republican,2,0.095,-0.995,0.095,-0.995
47,House,100,Democrat,137,-0.396,-0.0835,-0.394977941176,-0.0681838235294
47,House,117,Readjuster Democrat,2,-0.009,0.4875,-0.009,0.4875
47,House,200,Republican,160,0.391,-0.05,0.387735849057,-0.0507547169811
47,House,326,National Greenbacker,10,0.0315,0.9915,0.0131,0.8629
47,House,328,Independent,1,0.259,-0.291,0.259,-0.291
47,House,329,Ind. Democrat,1,-0.165,0.087,-0.165,0.087
47,Senate,100,Democrat,38,-0.4335,0.0075,-0.448815789474,-0.0527631578947
47,Senate,114,Readjuster,1,0.397,0.296,0.397,0.296
47,Senate,200,Republican,45,0.314,-0.158,0.314755555556,-0.113044444444
47,Senate,328,Independent,1,-0.06,-0.083,-0.06,-0.083
48,President,200,Republican,1,0.095,-0.995,0.095,-0.995
48,House,100,Democrat,203,-0.337,-0.062,-0.346916256158,-0.052842364532
48,House,114,Readjuster,6,0.348,-0.296,0.3162,-0.1822
48,House,200,Republican,126,0.385,-0.005,0.377488,0.001824
48,House,326,National Greenbacker,3,-0.218,0.6,-0.0626666666667,0.556
48,House,328,Independent,2,-0.178,-0.1455,-0.178,-0.1455
48,House,329,Ind. Democrat,3,-0.042,0.112,-0.208333333333,0.272
48,House,331,Ind. Republican,1,0.133,-0.991,0.133,-0.991
48,Senate,100,Democrat,36,-0.4335,-0.052,-0.449444444444,-0.0916666666667
48,Senate,114,Readjuster,2,0.204,0.2335,0.204,0.2335
48,Senate,200,Republican,40,0.308,-0.2515,0.311025,-0.192675
49,President,100,Democrat,1,-0.362,-0.758,-0.362,-0.758
49,House,100,Democrat,188,-0.357,-0.052,-0.365705882353,-0.0930106951872
49,House,200,Republican,143,0.391,0.022,0.383615384615,0.0533426573427
49,House,326,National Greenbacker,1,-0.078,0.997,-0.078,0.997
49,House,329,Ind. Democrat,1,-0.181,-0.966,-0.181,-0.966
49,Senate,100,Democrat,39,-0.43,-0.071,-0.445820512821,-0.125666666667
49,Senate,200,Republican,45,0.288,-0.218,0.298066666667,-0.158666666667
50,President,100,Democrat,1,-0.362,-0.758,-0.362,-0.758
50,House,100,Democrat,171,-0.379,-0.1825,-0.370252941176,-0.195617647059
50,House,200,Republican,154,0.398,0.048,0.394640522876,0.0468954248366
50,House,326,National Greenbacker,1,-0.078,0.997,-0.078,0.997
50,House,328,Independent,1,0.337,0.016,0.337,0.016
50,House,331,Ind. Republican,2,0.177,0.9765,0.177,0.9765
50,House,355,Union,2,-0.156,0.7065,-0.156,0.7065
50,Senate,100,Democrat,37,-0.457,-0.071,-0.458837837838,-0.123081081081
50,Senate,200,Republican,40,0.287,-0.2305,0.288575,-0.1785
51,President,200,Republican,1,0.268,-0.182,0.268,-0.182
51,House,100,Democrat,170,-0.381,-0.206,-0.383609467456,-0.229893491124
51,House,200,Republican,184,0.408,0.0555,0.411668478261,0.0910380434783
51,House,356,Union Labor,1,0.181,0.139,0.181,0.139
51,Senate,100,Democrat,38,-0.447,-0.0785,-0.452842105263,-0.124078947368
51,Senate,200,Republican,53,0.304,-0.183,0.312226415094,-0.104452830189
52,President,200,Republican,1,0.268,-0.182,0.268,-0.182
52,House,100,Democrat,248,-0.32,-0.206,-0.341457489879,-0.236866396761
52,House,200,Republican,91,0.426,0.016,0.424921348315,0.0441235955056
52,House,340,Populist,8,-0.159,0.9865,-0.166125,0.983625
52,Senate,100,Democrat,45,-0.43,-0.086,-0.441111111111,-0.184688888889
52,Senate,200,Republican,49,0.305,-0.187,0.310653061224,-0.115734693878
52,Senate,340,Populist,2,-0.083,0.7395,-0.083,0.7395
53,President,100,Democrat,1,-0.362,-0.758,-0.362,-0.758
53,House,100,Democrat,229,-0.339,-0.2015,-0.351495614035,-0.203026315789
53,House,200,Republican,135,0.439,-0.032,0.439842105263,-0.000954887218045
53,House,329,Ind. Democrat,2,-0.2165,-0.738,-0.2165,-0.738
53,House,340,Populist,11,-0.16,0.986,-0.164636363636,0.892090909091
53,House,1060,Silver,1,-0.177,-0.067,-0.177,-0.067
53,Senate,100,Democrat,48,-0.4265,-0.0235,-0.438229166667,-0.158395833333
53,Senate,200,Republican,44,0.3115,-0.185,0.323,-0.131022727273
53,Senate,340,Populist,3,-0.108,0.977,-0.126666666667,0.818666666667
53,Senate,1060,Silver,1,0.252,0.215,0.252,0.215
54,President,100,Democrat,1,-0.362,-0.758,-0.362,-0.758
54,House,100,Democrat,107,-0.422,-0.091,-0.422029126214,-0.100368932039
54,House,200,Republican,255,0.43,0.052,0.416043478261,0.0390711462451
54,House,340,Populist,9,-0.158,0.974,-0.112333333333,0.896333333333
54,House,1060,Silver,1,-0.177,-0.067,-0.177,-0.067
54,Senate,100,Democrat,40,-0.414,-0.1055,-0.42285,-0.173075
54,Senate,200,Republican,44,0.3215,-0.1525,0.346181818182,-0.0908636363636
54,Senate,340,Populist,4,-0.161,0.976,-0.15025,0.85775
54,Senate,1060,Silver,2,0.228,0.2235,0.228,0.2235
55,President,200,Republican,1,0.232,0.372,0.232,0.372
55,House,100,Democrat,132,-0.396,0.122,-0.389136363636,0.0620909090909
55,House,200,Republican,212,0.4345,-0.047,0.430429245283,-0.0415896226415
55,House,331,Ind. Republican,1,0.443,-0.085,0.443,-0.085
55,House,340,Populist,22,-0.2535,0.951,-0.249318181818,0.916227272727
55,House,354,Silver Republican,3,-0.198,0.465,-0.113,0.392666666667
55,House,1060,Silver,1,-0.177,-0.067,-0.177,-0.067
55,Senate,100,Democrat,38,-0.424,-0.0,-0.426054054054,-0.126135135135
55,Senate,200,Republican,46,0.374,-0.303,0.381108695652,-0.294847826087
55,Senate,340,Populist,5,-0.214,0.968,-0.191,0.8354
55,Senate,354,Silver Republican,5,0.095,0.825,0.0666,0.7902
55,Senate,1060,Silver,2,0.228,0.2235,0.228,0.2235
56,President,200,Republican,1,0.232,0.372,0.232,0.372
56,House,100,Democrat,170,-0.36,-0.01,-0.364437869822,-0.0489763313609
56,House,200,Republican,197,0.442,-0.005,0.437263959391,-0.00967005076142
56,House,340,Populist,7,-0.298,0.954,-0.328428571429,0.859428571429
56,House,354,Silver Republican,2,-0.124,0.2495,-0.124,0.2495
56,House,1060,Silver,1,-0.177,-0.067,-0.177,-0.067
